date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:52	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2009%20Jun%202025%2014:52:52%20GMT	https://www.rainforces.ca/robots.txt		(from )
19:52:57	26959/26959	---M--	200	added ('OK')	text/html	etag:%22694f-634b084da947e%22	https://www.rainforces.ca/website/	/Users/h/websites/rainforceee/www.rainforces.ca/website/index.html	(from )
19:52:58	5842/5842	---MC-	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2014:52:58%20GMT	http://gmpg.org/xfn/11	/Users/h/websites/rainforceee/gmpg.org/xfn/11.html	(from https://www.rainforces.ca/website/)
19:52:58	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2009%20Jun%202025%2014:52:58%20GMT	https://www.rainforces.ca/website/xmlrpc.php	/Users/h/websites/rainforceee/www.rainforces.ca/website/xmlrpc.php	(from https://www.rainforces.ca/website/)
19:52:59	19888/19888	---M--	200	added ('OK')	text/css	etag:%224db0-567f7c3fc64ec%22	https://www.rainforces.ca/website/wp-content/plugins/wp-video-lightbox/css/prettyPhoto.css	/Users/h/websites/rainforceee/www.rainforces.ca/website/wp-content/plugins/wp-video-lightbox/css/prettyPhoto.css	(from https://www.rainforces.ca/website/)
19:53:00	204/204	---MCZ	200	added ('OK')	text/html	etag:W/%22a8b95d1a3b890c150f269dca0f557c0d%22	http://maxcdn.bootstrapcdn.com/	/Users/h/websites/rainforceee/maxcdn.bootstrapcdn.com/index.html	(from https://www.rainforces.ca/website/)
19:53:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Jun%202025%2014:53:00%20GMT	http://s.w.org/	/Users/h/websites/rainforceee/s.w.org/index.html	(from https://www.rainforces.ca/website/)
19:53:00	890/890	---M--	200	added ('OK')	application/rss+xml	etag:%223b87f167e1823e1d187749c7ef8c92dd%22	https://www.rainforces.ca/website/feed/	/Users/h/websites/rainforceee/www.rainforces.ca/website/feed/index.html	(from https://www.rainforces.ca/website/)
19:53:00	781/781	---M--	200	added ('OK')	application/rss+xml	etag:%22a316ea2c5183d7aab0ce96763d1e7cdf%22	https://www.rainforces.ca/website/comments/feed/	/Users/h/websites/rainforceee/www.rainforces.ca/website/comments/feed/index.html	(from https://www.rainforces.ca/website/)
19:53:01	1130/1130	---M--	200	added ('OK')	text/css	etag:%2246a-567f7c40411c3%22	https://www.rainforces.ca/website/wp-content/plugins/wp-video-lightbox/wp-video-lightbox.css	/Users/h/websites/rainforceee/www.rainforces.ca/website/wp-content/plugins/wp-video-lightbox/wp-video-lightbox.css	(from https://www.rainforces.ca/website/)
